1,4654953479766846
1,745767593383789
1,741405963897705
1,7852106094360352
1,7094600200653076
1,8091309070587158
1,7058789730072021
1,714334487915039
1,7041828632354736
1,7203502655029297
1,723423719406128
1,7034714221954346
1,6840710639953613
1,7062723636627197
1,7970664501190186
1,7407758235931396
1,7241451740264893
1,6767313480377197
2,055067300796509
1,7739713191986084
1,7756168842315674
1,6907546520233154
1,7050518989562988
1,7946045398712158
1,8412857055664062
1,6373960971832275
1,673281192779541
2,4609551429748535
1,7149221897125244
1,9129180908203125




7,200289011001587
7,03348183631897
7,16919732093811
7,039959669113159
6,9503302574157715
6,999191761016846
7,122427940368652
7,025004863739014
7,123927354812622
6,92193078994751
9,244055032730103
7,187241077423096
6,978667259216309
7,156055688858032
6,973888158798218
7,0147576332092285
6,885518312454224
7,1954591274261475
6,925292730331421
6,931172609329224
7,586327075958252
6,937822580337524
6,985720157623291
6,966207981109619
7,181818723678589
6,9093053340911865
11,36371660232544
6,987173557281494
7,253946304321289
7,045791864395142
